Product Name|Manufacturer|Manufacturer Part #|UPC|Seller Part #|Category|Description|Price|Stock Status|Click-Out URL|Image URL|Condition|Ground Shipping|Weight
Akio Dresser|Not Specified|||384822|Bedroom|Features include inset panel sides and for spacious drawers and two wicker baskets. 41"Wx18"Dx36"H.|399.99|In Stock (339)|http://feed.demo.mirasvit.com/akio-dresser.html?fee=20&fep=41|http://feed.demo.mirasvit.com/media/catalog/product/a/k/akio-dresser.jpg|new|0.00|128.9700
Barcelona Bamboo Platform Bed|Not Specified|||bar1234|Bedroom|Entirely handcrafted of solid Bamboo. Designed for use with a mattress alone, it includes a sturdy, |2299|In Stock (994)|http://feed.demo.mirasvit.com/barcelona-bamboo-platform-bed.html?fee=20&fep=42|http://feed.demo.mirasvit.com/media/catalog/product/b/a/barcelona-bamboo-platform-bed.jpg|new|0.00|150.0000
Canon Digital Rebel XT 8MP Digital SLR Camera|Canon|||Rebel XT|Digital Cameras|The Canon EOS Digital Rebel camera now has a new, faster, even smaller big brother. Sibling rivalrie|550|In Stock (452)|http://feed.demo.mirasvit.com/canon-digital-rebel-xt-8mp-digital-slr-camera-with-ef-s-18-55mm-f3-5-5-6-lens-black.html?fee=20&fep=44|http://feed.demo.mirasvit.com/media/catalog/product/c/a/canon-digital-rebel-xt-8mp-digital-slr-camera-1.jpg|new|0.00|4.0000
 Argus QC-2185 Quick Click 5MP Digital Camera|Argus|||QC-2185|Digital Cameras|The Argus QC-2185 Quick Click 5MP digital camera offers all the basic features you need in a compact|37.49|In Stock (120)|http://feed.demo.mirasvit.com/argus-qc-2185-quick-click-5mp-digital-camera.html?fee=20&fep=45|http://feed.demo.mirasvit.com/media/catalog/product/a/r/argus-qc-2185-quick-click-5mp-digital-camera-2.jpg|new|0.00|1.0000
 Olympus Stylus 750 7.1MP Digital Camera|Olympus|||750|Digital Cameras|Olympus continues to innovate with the launch of the Stylus 750 digital camera, a technically sophis|161.94|In Stock (932)|http://feed.demo.mirasvit.com/olympus-stylus-750-7-1mp-digital-camera.html?fee=20&fep=46|http://feed.demo.mirasvit.com/media/catalog/product/o/l/olympus-stylus-750-7-1mp-digital-camera-2.jpg|new|0.00|2.0000
Canon PowerShot A630 8MP Digital Camera with 4x Optical Zoom|Canon|||A630|Digital Cameras|Replacing the highly popular PowerShot A620, the PowerShot A630 features a rotating 2.5-inch vari-an|329.99|In Stock (673)|http://feed.demo.mirasvit.com/canon-powershot-a630-8mp-digital-camera-with-4x-optical-zoom.html?fee=20&fep=47|http://feed.demo.mirasvit.com/media/catalog/product/c/a/canon-powershot-a630-8mp-digital-camera-with-4x-optical-zoom-2.jpg|new|0.00|3.0000
Kodak EasyShare C530 5MP Digital Camera|Kodak|||C530|Digital Cameras|Small on size. Big on value. Kodak\'s newest C-Series digital camera, the C530, sports awesome featu|199.99|In Stock (872)|http://feed.demo.mirasvit.com/kodak-easyshare-c530-5mp-digital-camera.html?fee=20&fep=48|http://feed.demo.mirasvit.com/media/catalog/product/k/o/kodak-easyshare-c530-5mp-digital-camera-2.jpg|new|0.00|2.0000
Ottoman|Not Specified|||1111|Living Room|The Magento ottoman will impress with its style while it delivers on quality. This piece of living r|299.99|In Stock (706)|http://feed.demo.mirasvit.com/ottoman.html?fee=20&fep=51|http://feed.demo.mirasvit.com/media/catalog/product/o/t/ottoman.jpg|new|0.00|20.0000
Chair|Not Specified|||1112|Living Room|This Magento chair features a fun, futuristic design, with fluid curves and gentle angles that follo|129.99|In Stock (724)|http://feed.demo.mirasvit.com/chair.html?fee=20&fep=52|http://feed.demo.mirasvit.com/media/catalog/product/c/h/chair.jpg|new|0.00|50.0000
Couch|Not Specified|||1113|Living Room|Inspired by the classic camelback sofa, Magento offers comfort and style in a low maintenance packag|599.99|In Stock (956)|http://feed.demo.mirasvit.com/couch.html?fee=20&fep=53|http://feed.demo.mirasvit.com/media/catalog/product/c/o/couch.jpg|new|0.00|200.0000
Magento Red Furniture Set|Not Specified|||1114|Living Room|The perfect furniture set for the living room!  Love red?  You\'ll love these pieces of handmade mod|699.99|In Stock (960)|http://feed.demo.mirasvit.com/magento-red-furniture-set.html?fee=20&fep=54|http://feed.demo.mirasvit.com/media/catalog/product/m/a/magento-red-furniture-set.jpg|new|0.00|500.0000
CN Clogs Beach/Garden Clog|CN CLogs|||cn|Mens|Comfortable and fun to wear these clogs are the latest trend in fashion footwear. Wear them either a|15.99|In Stock (986)|http://feed.demo.mirasvit.com/cn-clogs-beach-garden-clog.html?fee=20&fep=83|http://feed.demo.mirasvit.com/media/catalog/product/c/n/cn-clogs-beach-garden-clog.jpg|new|0.00|1.0000
ASICS® Men's GEL-Kayano® XII|Asics|||asc|Mens|Biomorphic Fit™ upper offers enhanced upper fit and comfort while decreasing the potential for irr|134.99|In Stock (767)|http://feed.demo.mirasvit.com/asics-men-s-gel-kayano-xii.html?fee=20&fep=93|http://feed.demo.mirasvit.com/media/catalog/product/a/s/asics-men-s-gel-kayano-xii-2.jpg|new|0.00|3.0000
Kenneth Cole New York Men's Con-verge Slip-on|Kenneth Cole|||ken|Mens|High fashion and classic good looks converge in this suave slip on from Kenneth Cole. Smooth leather|160.99|In Stock (114)|http://feed.demo.mirasvit.com/kenneth-cole-new-york-men-s-con-verge-slip-on.html?fee=20&fep=98|http://feed.demo.mirasvit.com/media/catalog/product/k/e/kenneth-cole-new-york-men-s-con-verge-slip-on.jpg|new|0.00|2.0000
Steven by Steve Madden Pryme Pump|Steve Madden|||steve|Womens|Nothing will turn his head faster than you wearing the sexy Pryme pump from Steven by Steve Madden. |69.99|In Stock (961)|http://feed.demo.mirasvit.com/steven-by-steve-madden-pryme-pump.html?fee=20&fep=103|http://feed.demo.mirasvit.com/media/catalog/product/s/t/steven-by-steve-madden-pryme-pump.jpg|new|0.00|2.0000
Nine West Women's Lucero Pump|Nine West|||nine|Womens|The Lucero pump from Nine West may just leave him at a loss for words. This flirty pump has a leathe|89.99|In Stock (384)|http://feed.demo.mirasvit.com/nine-west-women-s-lucero-pump.html?fee=20&fep=108|http://feed.demo.mirasvit.com/media/catalog/product/n/i/nine-west-women-s-lucero-pump.jpg|new|0.00|2.0000
ECCO Womens Golf Flexor Golf Shoe|Ecco|||ecco|Womens|Featuring a wide toe box and delivering optimum support, the sporty Golf Flexor golf shoe is a styli|159.99|In Stock (264)|http://feed.demo.mirasvit.com/ecco-womens-golf-flexor-golf-shoe.html?fee=20&fep=112|http://feed.demo.mirasvit.com/media/catalog/product/e/c/ecco-womens-golf-flexor-golf-shoe.jpg|new|0.00|4.0000
Coalesce: Functioning On Impatience T-Shirt|Not Specified|||coal_1|Shirts|Comfortable preshrunk shirts.  Highest Quality Printing.<br><br> <ul> <ul class="disc"> <li>6.1 o|15|In Stock (466)|http://feed.demo.mirasvit.com/coalesce-functioning-on-impatience-t-shirt.html?fee=20&fep=119|http://feed.demo.mirasvit.com/media/catalog/product/c/o/coalesce-functioning-on-impatience-t-shirt-1.jpg|new|0.00|0.5000
Ink Eater: Krylon Bombear Destroyed Tee|Not Specified|||ink|Shirts|We bought these with the intention of making shirts for our family reunion, only to come back the ne|22|In Stock (896)|http://feed.demo.mirasvit.com/ink-eater-krylon-bombear-destroyed-tee.html?fee=20&fep=120|http://feed.demo.mirasvit.com/media/catalog/product/i/n/ink-eater-krylon-bombear-destroyed-tee.jpg|new|0.00|0.5000
The Only Children: Paisley T-Shirt|Not Specified|||oc|Shirts|<ul> <ul class="disc"> <li>6.1 oz. 100% preshrunk heavyweight cotton <br></li> <li>Double-needle |100|In Stock (555)|http://feed.demo.mirasvit.com/the-only-children-paisley-t-shirt.html?fee=20&fep=123|http://feed.demo.mirasvit.com/media/catalog/product/t/h/the-only-children-paisley-t-shirt.jpg|new|0.00|0.4400
Zolof The Rock And Roll Destroyer: LOL Cat T-shirt|Not Specified|||zol|Shirts|<ul> <ul class="disc") <li> 6.1 oz. 100% preshrunk heavyweight cotton <br></li> <li> Shoulder-to-|13.5|In Stock (832)|http://feed.demo.mirasvit.com/zolof-the-rock-and-roll-destroyer-lol-cat-t-shirt.html?fee=20&fep=126|http://feed.demo.mirasvit.com/media/catalog/product/z/o/zolof-the-rock-and-roll-destroyer-lol-cat-t-shirt.jpg|new|0.00|0.4400
SLR Camera Tripod|Not Specified|||ac674|Accessories|Sturdy, lightweight tripods are designed to meet the needs of amateur and professional photographers|99|In Stock (162)|http://feed.demo.mirasvit.com/slr-camera-tripod.html?fee=20&fep=132|http://feed.demo.mirasvit.com/media/catalog/product/s/l/slr-camera-tripod.jpg|new|0.00|42.0000
Universal Camera Case|Not Specified|||ac9003|Accessories|A stylish digital camera demands stylish protection. This leather carrying case will defend your cam|34|In Stock (398)|http://feed.demo.mirasvit.com/universal-camera-case.html?fee=20&fep=133|http://feed.demo.mirasvit.com/media/catalog/product/u/n/universal-camera-case.jpg|new|0.00|
Universal Camera Charger|Not Specified|||ac-66332|Accessories|Features foldable Flat Pin for Easy Storage/ Slim/ Lightweight Design and Smart Charging LED Indicat|19|In Stock (377)|http://feed.demo.mirasvit.com/universal-camera-charger.html?fee=20&fep=134|http://feed.demo.mirasvit.com/media/catalog/product/u/n/universal-camera-charger.jpg|new|0.00|5.0000
Anashria Womens Premier Leather Sandal|Anashria|||ana|Womens|Smooth kidskin upper in a dress platform wedge t-strap sandal style, with a round open toe, front an|41.95|In Stock (998)|http://feed.demo.mirasvit.com/anashria-womens-premier-leather-sandal.html?fee=20&fep=135|http://feed.demo.mirasvit.com/media/catalog/product/a/n/anashria-womens-premier-leather-sandal.jpg|new|0.00|2.0000
Apevia Black X-Cruiser Case ATX Mid-Tower Case (Default)|Not Specified|||apevia-black|Cases|This superb, multi-functional Aspire X-Cruiser mid tower case is designed to follow Intel\'s recomme|150|In Stock (703)|http://feed.demo.mirasvit.com/apevia-black-x-cruiser-case-atx-mid-tower-case.html?fee=20&fep=138|http://feed.demo.mirasvit.com/media/catalog/product/a/p/apevia-black-x-cruiser-case-atx-mid-tower-case-default.jpg|new|0.00|10.0000
NZXT Lexa Silver Aluminum ATX Mid-Tower Case (Default)|Not Specified|||nzxtlexa|Cases|Introducing the next advancement in case design and technology, the Lexa. Designed from ground up to|199.99|In Stock (743)|http://feed.demo.mirasvit.com/nzxt-lexa-silver-aluminum-atx-mid-tower-case.html?fee=20&fep=139|http://feed.demo.mirasvit.com/media/catalog/product/n/z/nzxt-lexa-silver-aluminum-atx-mid-tower-case-default.jpg|new|0.00|10.0000
Crucial 2GB PC4200 DDR2 533MHz Memory|Crucial|||2gbdimm|RAM / Memory|Crucial 2GB PC4200 DDR2 533MHz Memory Crucial Technologies is part of Micron, the largest DRAM manu|199.99|In Stock (769)|http://feed.demo.mirasvit.com/crucial-2gb-pc4200-ddr2-533mhz-memory.html?fee=20&fep=140|http://feed.demo.mirasvit.com/media/catalog/product/c/r/crucial-2gb-pc4200-ddr2-533mhz-memory.jpg|new|0.00|1.0000
Crucial 1GB PC4200 DDR2 533MHz Memory|Crucial|||1gbdimm|RAM / Memory|Crucial 1024MB PC4200 DDR2 533MHz Memory Crucial Technologies is part of Micron, the largest DRAM m|150.99|In Stock (853)|http://feed.demo.mirasvit.com/crucial-1gb-pc4200-ddr2-533mhz-memory.html?fee=20&fep=141|http://feed.demo.mirasvit.com/media/catalog/product/c/r/crucial-1gb-pc4200-ddr2-533mhz-memory.jpg|new|0.00|1.0000
Crucial 512MB PC4200 DDR2 533MHz Memory|Crucial|||512dimm|RAM / Memory|Crucial 512MB PC4200 DDR2 533MHz Memory Crucial Technologies is part of Micron, the largest DRAM ma|99.99|In Stock (133)|http://feed.demo.mirasvit.com/crucial-512mb-pc4200-ddr2-533mhz-memory.html?fee=20&fep=143|http://feed.demo.mirasvit.com/media/catalog/product/c/r/crucial-512mb-pc4200-ddr2-533mhz-memory.jpg|new|0.00|1.0000
AMD Phenom X4 9850 Black Ed. 2.50GHz Retail|AMD|||amdphenom|Processors|Overclocker’s dream! Deliver more sophisticated solutions with the leading-edge technology of AMD |335.99|In Stock (539)|http://feed.demo.mirasvit.com/amd-phenom-x4-9850-black-ed-2-50ghz-retail.html?fee=20&fep=145|http://feed.demo.mirasvit.com/media/catalog/product/a/m/amd-phenom-x4-9850-black-ed-2-50ghz-retail.jpg|new|0.00|1.0000
22" Syncmaster LCD Monitor|Samsung|||226bw|Monitors|The wide, 16:10 format of SAMSUNG\'s 226BW digital/Analog widescreen LCD monitor gives you plenty of|399.99|In Stock (385)|http://feed.demo.mirasvit.com/22-syncmaster-lcd-monitor.html?fee=20&fep=147|http://feed.demo.mirasvit.com/media/catalog/product/2/2/22-syncmaster-lcd-monitor.jpg|new|0.00|1.0000
AMD A64 X2 3800+ 2.0GHz OEM|AMD|||amda64|Processors|Frustrated by staring at the hourglass icon as soon as you try to work on more than three programs a|98.99|In Stock (303)|http://feed.demo.mirasvit.com/amd-a64-x2-3800-2-0ghz-oem.html?fee=20&fep=148|http://feed.demo.mirasvit.com/media/catalog/product/a/m/amd-a64-x2-3800-2-0ghz-oem.jpg|new|0.00|1.0000
Western Digital - 1TB HD - 7200RPM|Western Digital|||1tb7200|Hard Drives|1 TB - 7200RPM, SATA 3.0Gb/s, 32MB Cache|399|In Stock (74)|http://feed.demo.mirasvit.com/1tb-7200rpm.html?fee=20&fep=149|http://feed.demo.mirasvit.com/media/catalog/product/w/e/western-digital-1tb-hd-7200rpm.jpg|new|0.00|1.0000
Western Digital 500GB HD - 7200RPM|Western Digital|||500gb7200|Hard Drives|500GB- 7200RPM, SATA 3.0Gb/s, 32MB Cache|299|In Stock (17)|http://feed.demo.mirasvit.com/500gb-7200rpm.html?fee=20&fep=150|http://feed.demo.mirasvit.com/media/catalog/product/w/e/western-digital-500gb-hd-7200rpm.jpg|new|0.00|1.0000
Intel C2D E8400 3.0GHz Retail|Intel|||intelc2d|Processors|Intel® Core™2 Duo processor is the new brand name for our next-generation energy-efficient perfor|98.99|In Stock (846)|http://feed.demo.mirasvit.com/intel-c2d-e8400-3-0ghz-retail.html?fee=20&fep=151|http://feed.demo.mirasvit.com/media/catalog/product/i/n/intel-c2d-e8400-3-0ghz-retail.jpg|new|0.00|1.0000
24" Widescreen Flat-Panel LCD Monitor|LG|||W2452T-TF|Monitors|With ultrafine 10,000:1 contrast and wide 170° viewing angles, this 24" widescreen LCD monitor deli|699.99|In Stock (504)|http://feed.demo.mirasvit.com/24-widescreen-flat-panel-lcd-monitor.html?fee=20&fep=152|http://feed.demo.mirasvit.com/media/catalog/product/2/4/24-widescreen-flat-panel-lcd-monitor.jpg|new|0.00|1.0000
Intel Core 2 Extreme QX9775 3.20GHz Retail|Intel|||intelcore2extreme|Processors|The new Intel® Core™2 Extreme processor QX9775 with hafnium-infused chip design delivers unrivale|2049.99|In Stock (549)|http://feed.demo.mirasvit.com/intel-core-2-extreme-qx9775-3-20ghz-retail.html?fee=20&fep=153|http://feed.demo.mirasvit.com/media/catalog/product/i/n/intel-core-2-extreme-qx9775-3-20ghz-retail.jpg|new|0.00|1.0000
Seagate 500GB HD - 5400RPM|Seagate|||500gb5400|Hard Drives|1 TB - 7200RPM, SATA 3.0Gb/s, 32MB Cache|299|In Stock (312)|http://feed.demo.mirasvit.com/500gb-5400rpm.html?fee=20&fep=154|http://feed.demo.mirasvit.com/media/catalog/product/s/e/seagate-500gb-hd-5400rpm.jpg|new|0.00|1.0000
Seagate 250GB HD - 5400RPM|Seagate|||250gb5400|Hard Drives|1 TB - 7200RPM, SATA 3.0Gb/s, 32MB Cache|99|In Stock (363)|http://feed.demo.mirasvit.com/250gb-5400rpm.html?fee=20&fep=155|http://feed.demo.mirasvit.com/media/catalog/product/s/e/seagate-250gb-hd-5400rpm.jpg|new|0.00|1.0000
19" Widescreen Flat-Panel LCD Monitor|LG|||W1952TQ-TF|Monitors|Experience smooth gaming visuals and crystal-clear video with this 19" flat-panel LCD monitor that f|399.99|In Stock (453)|http://feed.demo.mirasvit.com/19-widescreen-flat-panel-lcd-monitor.html?fee=20&fep=156|http://feed.demo.mirasvit.com/media/catalog/product/1/9/19-widescreen-flat-panel-lcd-monitor.jpg|new|0.00|1.0000
30" Flat-Panel TFT-LCD Cinema HD Monitor|Apple|||M9179LL|Monitors|    * Digital (DVI), USB 2.0 and FireWire 400 inputs     * Cinema HD delivers up to 16.7 million co|699.99|In Stock (563)|http://feed.demo.mirasvit.com/30-flat-panel-tft-lcd-cinema-hd-monitor.html?fee=20&fep=157|http://feed.demo.mirasvit.com/media/catalog/product/3/0/30-flat-panel-tft-lcd-cinema-hd-monitor.jpg|new|0.00|1.0000
Microsoft Natural Ergonomic Keyboard 4000|Microsoft|||microsoftnatural|Peripherals|The most comfortable ergonomic keyboard on the market! We just made a great deal for this Microsoft |99.99|In Stock (275)|http://feed.demo.mirasvit.com/microsoft-natural-ergonomic-keyboard-4000.html?fee=20&fep=159|http://feed.demo.mirasvit.com/media/catalog/product/m/i/microsoft-natural-ergonomic-keyboard-4000.jpg|new|0.00|1.0000
Logitech Cordless Optical Trackman|Logitech|||logitechcord|Peripherals|Our most advanced trackball yet: a comfortable, cordless, finger-operated trackball that works where|79.99|In Stock (618)|http://feed.demo.mirasvit.com/microsoft-wireless-optical-mouse-5000.html?fee=20&fep=160|http://feed.demo.mirasvit.com/media/catalog/product/l/o/logitech-cordless-optical-trackman.jpg|new|0.00|1.0000
Logitech diNovo Edge Keyboard|Logitech|||logidinovo|Peripherals|PerfectStroke key system for the ultimate keyboard feel. Bluetooth wireless and Li-Ion powered. Styl|239.99|In Stock (209)|http://feed.demo.mirasvit.com/logitech-dinovo-edge-keyboard.html?fee=20&fep=161|http://feed.demo.mirasvit.com/media/catalog/product/l/o/logitech-dinovo-edge-keyboard.jpg|new|0.00|1.0000
Microsoft Wireless Optical Mouse 5000|Microsoft|||micronmouse5000|Peripherals|Experience smoother tracking and wireless freedom. Navigate with enhanced precision with this ergono|59.99|In Stock (760)|http://feed.demo.mirasvit.com/microsoft-wireless-optical-mouse-5001.html?fee=20&fep=162|http://feed.demo.mirasvit.com/media/catalog/product/m/i/microsoft-wireless-optical-mouse-5000.jpg|new|0.00|1.0000
Gaming Computer|Not Specified|||computer_fixed|Build Your Own|Make a computer|4999.95|In Stock (968)|http://feed.demo.mirasvit.com/gaming-computer.html?fee=20&fep=164|http://feed.demo.mirasvit.com/media/catalog/product/g/a/gaming-computer.jpg|new|0.00|23
HTC Touch Diamond|HTC|||HTC Touch Diamond|Cell Phones|Re-defining the perception of advanced mobile phones… the HTC Touch Diamond™ signals a giant lea|750|In Stock (849)|http://feed.demo.mirasvit.com/htc-touch-diamond.html?fee=20&fep=166|http://feed.demo.mirasvit.com/media/catalog/product/h/t/htc-touch-diamond.jpg|new|0.00|0.3000
