Category;Title;Link;SKU;Price;Brand;Department;UPC;Image;Description;Manufacturer;Mfr part number;Shipping Weight
Bedroom;Akio Dresser;http://feed.demo.mirasvit.com/akio-dresser.html?fee=19&fep=41;384822;399.99;;men, women;384822;http://feed.demo.mirasvit.com/media/catalog/product/a/k/akio-dresser.jpg;Our Akio dresser has a solid hardwood frame.  ;;384822;128.9700
Bedroom;Barcelona Bamboo Platform Bed;http://feed.demo.mirasvit.com/barcelona-bamboo-platform-bed.html?fee=19&fep=42;bar1234;2299;;men, women;bar1234;http://feed.demo.mirasvit.com/media/catalog/product/b/a/barcelona-bamboo-platform-bed.jpg;Our Barcelona platform bed captures the spirit and drama of late 20th century design with a variety ;;bar1234;150.0000
Digital Cameras;Canon Digital Rebel XT 8MP Digital SLR Camera;http://feed.demo.mirasvit.com/canon-digital-rebel-xt-8mp-digital-slr-camera-with-ef-s-18-55mm-f3-5-5-6-lens-black.html?fee=19&fep=44;Rebel XT;550;;men, women;Rebel XT;http://feed.demo.mirasvit.com/media/catalog/product/c/a/canon-digital-rebel-xt-8mp-digital-slr-camera-1.jpg; Canon EOS Digital Rebel XT SLR adds resolution, speed, extra creative control, and enhanced comfort;;Rebel XT;4.0000
Digital Cameras; Argus QC-2185 Quick Click 5MP Digital Camera;http://feed.demo.mirasvit.com/argus-qc-2185-quick-click-5mp-digital-camera.html?fee=19&fep=45;QC-2185;37.49;;men, women;QC-2185;http://feed.demo.mirasvit.com/media/catalog/product/a/r/argus-qc-2185-quick-click-5mp-digital-camera-2.jpg;The Argus QC-2185 Quick Click 5MP digital camera offers all the basic features you need in a compact;;QC-2185;1.0000
Digital Cameras; Olympus Stylus 750 7.1MP Digital Camera;http://feed.demo.mirasvit.com/olympus-stylus-750-7-1mp-digital-camera.html?fee=19&fep=46;750;161.94;;men, women;750;http://feed.demo.mirasvit.com/media/catalog/product/o/l/olympus-stylus-750-7-1mp-digital-camera-2.jpg;A technically sophisticated point-and-shoot camera offering a number of pioneering technologies such;;750;2.0000
Digital Cameras;Canon PowerShot A630 8MP Digital Camera with 4x Optical Zoom;http://feed.demo.mirasvit.com/canon-powershot-a630-8mp-digital-camera-with-4x-optical-zoom.html?fee=19&fep=47;A630;329.99;;men, women;A630;http://feed.demo.mirasvit.com/media/catalog/product/c/a/canon-powershot-a630-8mp-digital-camera-with-4x-optical-zoom-2.jpg;Replacing the highly popular PowerShot A620, the PowerShot A630 features a rotating 2.5-inch vari-an;;A630;3.0000
Digital Cameras;Kodak EasyShare C530 5MP Digital Camera;http://feed.demo.mirasvit.com/kodak-easyshare-c530-5mp-digital-camera.html?fee=19&fep=48;C530;199.99;;men, women;C530;http://feed.demo.mirasvit.com/media/catalog/product/k/o/kodak-easyshare-c530-5mp-digital-camera-2.jpg;Small on size. Big on value. Kodak\'s newest C-Series digital camera, the C530, sports awesome featu;;C530;2.0000
Living Room;Ottoman;http://feed.demo.mirasvit.com/ottoman.html?fee=19&fep=51;1111;299.99;;men, women;1111;http://feed.demo.mirasvit.com/media/catalog/product/o/t/ottoman.jpg;With durable solid wood framing, generous padding and plush stain-resistant microfiber upholstery.;;1111;20.0000
Living Room;Chair;http://feed.demo.mirasvit.com/chair.html?fee=19&fep=52;1112;129.99;;men, women;1112;http://feed.demo.mirasvit.com/media/catalog/product/c/h/chair.jpg;Combining a hint of nostalgia with the up-to-date sensibility and function of modern chairs. It is i;;1112;50.0000
Living Room;Couch;http://feed.demo.mirasvit.com/couch.html?fee=19&fep=53;1113;599.99;;men, women;1113;http://feed.demo.mirasvit.com/media/catalog/product/c/o/couch.jpg;For a sleek, simple and stylish piece, look no further than the Magento sofa - or sofabed!;;1113;200.0000
Living Room;Magento Red Furniture Set;http://feed.demo.mirasvit.com/magento-red-furniture-set.html?fee=19&fep=54;1114;699.99;;men, women;1114;http://feed.demo.mirasvit.com/media/catalog/product/m/a/magento-red-furniture-set.jpg;Love red?  You\'ll love these pieces of handmade modern furniture!;;1114;500.0000
Mens;CN Clogs Beach/Garden Clog;http://feed.demo.mirasvit.com/cn-clogs-beach-garden-clog.html?fee=19&fep=83;cn;15.99;;men, women;cn;http://feed.demo.mirasvit.com/media/catalog/product/c/n/cn-clogs-beach-garden-clog.jpg;Comfortable and fun to wear these clogs are the latest trend in fashion footwear;;cn;1.0000
Mens;ASICS® Men's GEL-Kayano® XII;http://feed.demo.mirasvit.com/asics-men-s-gel-kayano-xii.html?fee=19&fep=93;asc;134.99;;men, women;asc;http://feed.demo.mirasvit.com/media/catalog/product/a/s/asics-men-s-gel-kayano-xii-2.jpg;The ASICS® GEL-Kayano® XII running shoe delivers the ultimate blend of cushioning and support. ;;asc;3.0000
Mens;Kenneth Cole New York Men's Con-verge Slip-on;http://feed.demo.mirasvit.com/kenneth-cole-new-york-men-s-con-verge-slip-on.html?fee=19&fep=98;ken;160.99;;men, women;ken;http://feed.demo.mirasvit.com/media/catalog/product/k/e/kenneth-cole-new-york-men-s-con-verge-slip-on.jpg;Smooth leather upper in a dress slip on style, with a stitched and covered seam moc-inspired square ;;ken;2.0000
Womens;Steven by Steve Madden Pryme Pump;http://feed.demo.mirasvit.com/steven-by-steve-madden-pryme-pump.html?fee=19&fep=103;steve;69.99;;men, women;steve;http://feed.demo.mirasvit.com/media/catalog/product/s/t/steven-by-steve-madden-pryme-pump.jpg; This daring pump has a pretty patent leather upper with light shirring, a double stitch detail surr;;steve;2.0000
Womens;Nine West Women's Lucero Pump;http://feed.demo.mirasvit.com/nine-west-women-s-lucero-pump.html?fee=19&fep=108;nine;89.99;;men, women;nine;http://feed.demo.mirasvit.com/media/catalog/product/n/i/nine-west-women-s-lucero-pump.jpg;This flirty pump has a leather upper, a pretty almond-shaped toe with a slight V-cut vamp;;nine;2.0000
Womens;ECCO Womens Golf Flexor Golf Shoe;http://feed.demo.mirasvit.com/ecco-womens-golf-flexor-golf-shoe.html?fee=19&fep=112;ecco;159.99;;men, women;ecco;http://feed.demo.mirasvit.com/media/catalog/product/e/c/ecco-womens-golf-flexor-golf-shoe.jpg;With a wide toe box and delivering optimum support, the sporty Golf Flexor golf shoe is a stylish cl;;ecco;4.0000
Shirts;Coalesce: Functioning On Impatience T-Shirt;http://feed.demo.mirasvit.com/coalesce-functioning-on-impatience-t-shirt.html?fee=19&fep=119;coal_1;15;;men, women;coal_1;http://feed.demo.mirasvit.com/media/catalog/product/c/o/coalesce-functioning-on-impatience-t-shirt-1.jpg;<ul> <ul class="disc">  <li>6.1 oz. 100% preshrunk heavyweight cotton<br></li> <li>Shoulder-to-s;;coal_1;0.5000
Shirts;Ink Eater: Krylon Bombear Destroyed Tee;http://feed.demo.mirasvit.com/ink-eater-krylon-bombear-destroyed-tee.html?fee=19&fep=120;ink;22;;men, women;ink;http://feed.demo.mirasvit.com/media/catalog/product/i/n/ink-eater-krylon-bombear-destroyed-tee.jpg;Now you can make your grandparents proud by wearing an original piece of graf work to YOUR family re;;ink;0.5000
Shirts;The Only Children: Paisley T-Shirt;http://feed.demo.mirasvit.com/the-only-children-paisley-t-shirt.html?fee=19&fep=123;oc;100;;men, women;oc;http://feed.demo.mirasvit.com/media/catalog/product/t/h/the-only-children-paisley-t-shirt.jpg;Printed on American Apparel Classic style 5495 California cotton T shirt.   ;;oc;0.4400
Shirts;Zolof The Rock And Roll Destroyer: LOL Cat T-shirt;http://feed.demo.mirasvit.com/zolof-the-rock-and-roll-destroyer-lol-cat-t-shirt.html?fee=19&fep=126;zol;13.5;;men, women;zol;http://feed.demo.mirasvit.com/media/catalog/product/z/o/zolof-the-rock-and-roll-destroyer-lol-cat-t-shirt.jpg;Printed on American Apparel Classic style 5495 California t-shirts.  ;;zol;0.4400
Accessories;SLR Camera Tripod;http://feed.demo.mirasvit.com/slr-camera-tripod.html?fee=19&fep=132;ac674;99;;men, women;ac674;http://feed.demo.mirasvit.com/media/catalog/product/s/l/slr-camera-tripod.jpg;Sturdy, lightweight tripods are designed to meet the needs of amateur and professional photographers;;ac674;42.0000
Accessories;Universal Camera Case;http://feed.demo.mirasvit.com/universal-camera-case.html?fee=19&fep=133;ac9003;34;;men, women;ac9003;http://feed.demo.mirasvit.com/media/catalog/product/u/n/universal-camera-case.jpg;A stylish digital camera demands stylish protection. This leather carrying case will defend your cam;;ac9003;
Accessories;Universal Camera Charger;http://feed.demo.mirasvit.com/universal-camera-charger.html?fee=19&fep=134;ac-66332;19;;men, women;ac-66332;http://feed.demo.mirasvit.com/media/catalog/product/u/n/universal-camera-charger.jpg;Features foldable Flat Pin for Easy Storage/ Slim/ Lightweight Design and Smart Charging LED Indicat;;ac-66332;5.0000
Womens;Anashria Womens Premier Leather Sandal;http://feed.demo.mirasvit.com/anashria-womens-premier-leather-sandal.html?fee=19&fep=135;ana;41.95;;men, women;ana;http://feed.demo.mirasvit.com/media/catalog/product/a/n/anashria-womens-premier-leather-sandal.jpg;Buckle embellished contrasting straps adorn both the heel and canvas covered wedge of this t-strap s;;ana;2.0000
Cases;Apevia Black X-Cruiser Case ATX Mid-Tower Case (Default);http://feed.demo.mirasvit.com/apevia-black-x-cruiser-case-atx-mid-tower-case.html?fee=19&fep=138;apevia-black;150;;men, women;apevia-black;http://feed.demo.mirasvit.com/media/catalog/product/a/p/apevia-black-x-cruiser-case-atx-mid-tower-case-default.jpg;This magnificent new case features 2 x 80mm built-in fans with space for 2 optional fans. The Aspire;;apevia-black;10.0000
Cases;NZXT Lexa Silver Aluminum ATX Mid-Tower Case (Default);http://feed.demo.mirasvit.com/nzxt-lexa-silver-aluminum-atx-mid-tower-case.html?fee=19&fep=139;nzxtlexa;199.99;;men, women;nzxtlexa;http://feed.demo.mirasvit.com/media/catalog/product/n/z/nzxt-lexa-silver-aluminum-atx-mid-tower-case-default.jpg;The Lexa boasts a ridgid, but light weight aluminum chassis. The Lexa\'s high-air-flow design, while;;nzxtlexa;10.0000
RAM / Memory;Crucial 2GB PC4200 DDR2 533MHz Memory;http://feed.demo.mirasvit.com/crucial-2gb-pc4200-ddr2-533mhz-memory.html?fee=19&fep=140;2gbdimm;199.99;;men, women;2gbdimm;http://feed.demo.mirasvit.com/media/catalog/product/c/r/crucial-2gb-pc4200-ddr2-533mhz-memory.jpg;Crucial 2GB PC4200 DDR2 533MHz Memory Crucial Technologies is part of Micron, the largest DRAM manu;;2gbdimm;1.0000
RAM / Memory;Crucial 1GB PC4200 DDR2 533MHz Memory;http://feed.demo.mirasvit.com/crucial-1gb-pc4200-ddr2-533mhz-memory.html?fee=19&fep=141;1gbdimm;150.99;;men, women;1gbdimm;http://feed.demo.mirasvit.com/media/catalog/product/c/r/crucial-1gb-pc4200-ddr2-533mhz-memory.jpg;Crucial 1024MB PC4200 DDR2 533MHz Memory Crucial Technologies is part of Micron, the largest DRAM m;;1gbdimm;1.0000
RAM / Memory;Crucial 512MB PC4200 DDR2 533MHz Memory;http://feed.demo.mirasvit.com/crucial-512mb-pc4200-ddr2-533mhz-memory.html?fee=19&fep=143;512dimm;99.99;;men, women;512dimm;http://feed.demo.mirasvit.com/media/catalog/product/c/r/crucial-512mb-pc4200-ddr2-533mhz-memory.jpg;Crucial 512MB PC4200 DDR2 533MHz Memory Crucial Technologies is part of Micron, the largest DRAM ma;;512dimm;1.0000
Processors;AMD Phenom X4 9850 Black Ed. 2.50GHz Retail;http://feed.demo.mirasvit.com/amd-phenom-x4-9850-black-ed-2-50ghz-retail.html?fee=19&fep=145;amdphenom;335.99;;men, women;amdphenom;http://feed.demo.mirasvit.com/media/catalog/product/a/m/amd-phenom-x4-9850-black-ed-2-50ghz-retail.jpg;Deliver more sophisticated solutions with the leading-edge technology of AMD Phenom™ 9000 Series p;;amdphenom;1.0000
Monitors;22" Syncmaster LCD Monitor;http://feed.demo.mirasvit.com/22-syncmaster-lcd-monitor.html?fee=19&fep=147;226bw;399.99;;men, women;226bw;http://feed.demo.mirasvit.com/media/catalog/product/2/2/22-syncmaster-lcd-monitor.jpg;The wide, 16:10 format of SAMSUNG\'s 226BW digital/Analog widescreen LCD monitor gives you plenty of;;226bw;1.0000
Processors;AMD A64 X2 3800+ 2.0GHz OEM;http://feed.demo.mirasvit.com/amd-a64-x2-3800-2-0ghz-oem.html?fee=19&fep=148;amda64;98.99;;men, women;amda64;http://feed.demo.mirasvit.com/media/catalog/product/a/m/amd-a64-x2-3800-2-0ghz-oem.jpg;AMD Athlon 64 X2 3800+ Processor ADO3800IAA5CZ - 2.0GHz, 2 x 512KB Cache, 1000MHz (2000 MT/s) FSB, W;;amda64;1.0000
Hard Drives;Western Digital - 1TB HD - 7200RPM;http://feed.demo.mirasvit.com/1tb-7200rpm.html?fee=19&fep=149;1tb7200;399;;men, women;1tb7200;http://feed.demo.mirasvit.com/media/catalog/product/w/e/western-digital-1tb-hd-7200rpm.jpg;1 TB - 7200RPM, SATA 3.0Gb/s, 32MB Cache;;1tb7200;1.0000
Hard Drives;Western Digital 500GB HD - 7200RPM;http://feed.demo.mirasvit.com/500gb-7200rpm.html?fee=19&fep=150;500gb7200;299;;men, women;500gb7200;http://feed.demo.mirasvit.com/media/catalog/product/w/e/western-digital-500gb-hd-7200rpm.jpg;500GB - 7200RPM, SATA 3.0Gb/s, 32MB Cache;;500gb7200;1.0000
Processors;Intel C2D E8400 3.0GHz Retail;http://feed.demo.mirasvit.com/intel-c2d-e8400-3-0ghz-retail.html?fee=19&fep=151;intelc2d;98.99;;men, women;intelc2d;http://feed.demo.mirasvit.com/media/catalog/product/i/n/intel-c2d-e8400-3-0ghz-retail.jpg;Intel® Core™2 Duo processor is the new brand name for our next-generation energy-efficient perfor;;intelc2d;1.0000
Monitors;24" Widescreen Flat-Panel LCD Monitor;http://feed.demo.mirasvit.com/24-widescreen-flat-panel-lcd-monitor.html?fee=19&fep=152;W2452T-TF;699.99;;men, women;W2452T-TF;http://feed.demo.mirasvit.com/media/catalog/product/2/4/24-widescreen-flat-panel-lcd-monitor.jpg;5 ms response time  10,000:1 contrast ratio  400 cd/m² brightness  1920 x 1200 maximum resolution  ;;W2452T-TF;1.0000
Processors;Intel Core 2 Extreme QX9775 3.20GHz Retail;http://feed.demo.mirasvit.com/intel-core-2-extreme-qx9775-3-20ghz-retail.html?fee=19&fep=153;intelcore2extreme;2049.99;;men, women;intelcore2extreme;http://feed.demo.mirasvit.com/media/catalog/product/i/n/intel-core-2-extreme-qx9775-3-20ghz-retail.jpg;Intel Core 2 Extreme QX9775 Processor BX80574QX9775 - 45nm, 3.20GHz, 12MB Cache, 1600MHz FSB, Yorkfi;;intelcore2extreme;1.0000
Hard Drives;Seagate 500GB HD - 5400RPM;http://feed.demo.mirasvit.com/500gb-5400rpm.html?fee=19&fep=154;500gb5400;299;;men, women;500gb5400;http://feed.demo.mirasvit.com/media/catalog/product/s/e/seagate-500gb-hd-5400rpm.jpg;1 TB - 7200RPM, SATA 3.0Gb/s, 32MB Cache;;500gb5400;1.0000
Hard Drives;Seagate 250GB HD - 5400RPM;http://feed.demo.mirasvit.com/250gb-5400rpm.html?fee=19&fep=155;250gb5400;99;;men, women;250gb5400;http://feed.demo.mirasvit.com/media/catalog/product/s/e/seagate-250gb-hd-5400rpm.jpg;1 TB - 7200RPM, SATA 3.0Gb/s, 32MB Cache;;250gb5400;1.0000
Monitors;19" Widescreen Flat-Panel LCD Monitor;http://feed.demo.mirasvit.com/19-widescreen-flat-panel-lcd-monitor.html?fee=19&fep=156;W1952TQ-TF;399.99;;men, women;W1952TQ-TF;http://feed.demo.mirasvit.com/media/catalog/product/1/9/19-widescreen-flat-panel-lcd-monitor.jpg;2 ms response time  10,000:1 contrast ratio  300 cd/m² brightness  1440 x 900 maximum resolution  D;;W1952TQ-TF;1.0000
Monitors;30" Flat-Panel TFT-LCD Cinema HD Monitor;http://feed.demo.mirasvit.com/30-flat-panel-tft-lcd-cinema-hd-monitor.html?fee=19&fep=157;M9179LL;699.99;;men, women;M9179LL;http://feed.demo.mirasvit.com/media/catalog/product/3/0/30-flat-panel-tft-lcd-cinema-hd-monitor.jpg;Computer games, digital photo editing and graphic applications will astound you on this huge 30" fla;;M9179LL;1.0000
Peripherals;Microsoft Natural Ergonomic Keyboard 4000;http://feed.demo.mirasvit.com/microsoft-natural-ergonomic-keyboard-4000.html?fee=19&fep=159;microsoftnatural;99.99;;men, women;microsoftnatural;http://feed.demo.mirasvit.com/media/catalog/product/m/i/microsoft-natural-ergonomic-keyboard-4000.jpg;The most comfortable ergonomic keyboard on the market! We just made a great deal for this Microsoft ;;microsoftnatural;1.0000
Peripherals;Logitech Cordless Optical Trackman;http://feed.demo.mirasvit.com/microsoft-wireless-optical-mouse-5000.html?fee=19&fep=160;logitechcord;79.99;;men, women;logitechcord;http://feed.demo.mirasvit.com/media/catalog/product/l/o/logitech-cordless-optical-trackman.jpg;Our most advanced trackball yet. It\'s comfortable, cordless, finger-operated and works where you ne;;logitechcord;1.0000
Peripherals;Logitech diNovo Edge Keyboard;http://feed.demo.mirasvit.com/logitech-dinovo-edge-keyboard.html?fee=19&fep=161;logidinovo;239.99;;men, women;logidinovo;http://feed.demo.mirasvit.com/media/catalog/product/l/o/logitech-dinovo-edge-keyboard.jpg;PerfectStroke key system for the ultimate keyboard feel. Bluetooth wireless and Li-Ion powered.;;logidinovo;1.0000
Peripherals;Microsoft Wireless Optical Mouse 5000;http://feed.demo.mirasvit.com/microsoft-wireless-optical-mouse-5001.html?fee=19&fep=162;micronmouse5000;59.99;;men, women;micronmouse5000;http://feed.demo.mirasvit.com/media/catalog/product/m/i/microsoft-wireless-optical-mouse-5000.jpg;Experience smoother tracking and wireless freedom. Navigate with enhanced precision with this ergono;;micronmouse5000;1.0000
Build Your Own;Gaming Computer;http://feed.demo.mirasvit.com/gaming-computer.html?fee=19&fep=164;computer_fixed;4999.95;;men, women;computer_fixed;http://feed.demo.mirasvit.com/media/catalog/product/g/a/gaming-computer.jpg;Make a computer;;computer_fixed;23
Cell Phones;HTC Touch Diamond;http://feed.demo.mirasvit.com/htc-touch-diamond.html?fee=19&fep=166;HTC Touch Diamond;750;;men, women;HTC Touch Diamond;http://feed.demo.mirasvit.com/media/catalog/product/h/t/htc-touch-diamond.jpg;Re-defining the perception of advanced mobile phones… the HTC Touch Diamond™ signals a giant lea;;HTC Touch Diamond;0.3000
